Gen
BusNum,MW,Mvar,MvarMax,MvarMin,VoltSet,CustomFloat:0,Status,MWMax,MWMin,ID,AreaNumber,ZoneNumber,FuelTypeCode,UnitTypeCode,CustomString:0,CustomString:1,CustomString:2,CustomString:3
870,4.000000,0.000000,2.800000,-2.200000,1.020000,,Closed,4.000000,1.500000,1,1,70,WAT,HY,2606,2606-1,,
870,4.000000,0.000000,2.800000,-2.200000,1.020000,,Closed,4.000000,1.500000,2,1,70,WAT,HY,2606,2606-2,,
870,4.000000,0.000000,2.800000,-2.200000,1.020000,,Closed,4.000000,1.500000,3,1,70,WAT,HY,2606,2606-3,,
870,4.000000,0.000000,2.800000,-2.200000,1.020000,,Closed,4.000000,1.500000,4,1,70,WAT,HY,2606,2606-4,,
899,0.000000,0.000000,434.700012,-341.599989,1.020000,,Open,621.000004,80.000001,1,1,71,NG,ST,2625,2625-1,,
899,0.000000,0.000000,434.700012,-341.599989,1.020000,,Open,621.000004,100.000000,2,1,71,NG,ST,2625,2625-2,,
900,0.000000,0.000000,708.400011,-556.599998,1.020000,,Open,1011.999989,759.000015,1,1,73,NUC,ST,8907,8907-3,,
900,0.000000,0.000000,909.300041,-714.499998,1.020000,,Open,1298.999977,973.999977,2,1,73,NUC,ST,2497,2497-2,,
994,0.000000,0.000000,2.000000,-1.600000,1.020000,,Open,2.900000,2.200000,1,1,75,DFO,IC,2678,2678-2,,
994,2.000000,2.200000,2.200000,-1.700000,1.020000,,Closed,3.100000,2.000000,2,1,75,NG,IC,2678,2678-3,,
994,0.000000,0.000000,3.600000,-2.800000,1.020000,,Open,5.100000,4.500000,3,1,75,NG,IC,2678,2678-4,,
994,0.000000,0.000000,12.700000,-10.000000,1.020000,,Open,18.100001,5.000000,4,1,75,NG,GT,2679,2679-3,,
994,0.000000,0.000000,41.999999,-33.000001,1.020000,,Open,60.000002,28.000000,5,1,75,NG,GT,56032,56032-001,,
994,0.000000,0.000000,41.999999,-33.000001,1.020000,,Open,60.000002,28.000000,6,1,75,NG,GT,56032,56032-0001,,
994,0.000000,0.000000,42.399999,-33.300000,1.020000,,Open,60.500002,25.000000,7,1,75,NG,GT,2679,2679-CT5,,
997,0.000000,0.000000,2.500000,-1.900000,1.020000,,Open,3.500000,1.600000,1,1,75,DFO,IC,2695,2695-9,,
997,0.000000,0.000000,2.500000,-1.900000,1.020000,,Open,3.500000,1.600000,2,1,75,DFO,IC,2695,2695-10,,
997,0.000000,0.000000,3.600000,-2.900000,1.020000,,Open,5.200000,2.600000,3,1,75,DFO,IC,2695,2695-11,,
997,0.000000,0.000000,3.900000,-3.000000,1.020000,,Open,5.500000,2.700000,4,1,75,DFO,IC,2695,2695-12,,
997,0.000000,0.000000,3.900000,-3.000000,1.020000,,Open,5.500000,2.700000,5,1,75,DFO,IC,2695,2695-13,,
997,0.000000,0.000000,4.300000,-3.400000,1.020000,,Open,6.200000,3.100000,6,1,75,DFO,IC,2695,2695-14,,
999,0.000000,82.952899,250.000000,-250.000000,1.020000,,Closed,0.000000,0.000000,QS,1,75,UN,UN,,,,
1019,0.000000,24.389470,250.000000,-250.000000,1.020000,,Closed,0.000000,0.000000,QS,1,69,UN,UN,,,,
1027,44.999999,26.192567,80.849999,-75.459999,1.020000,,Closed,107.799995,44.999999,C1,1,69,NG,CC,10617,10617_CC01,,
1039,11.500000,0.000000,8.100000,-6.300000,1.020000,,Closed,11.500000,0.100000,1,1,69,WND,WT,55769,55769-MADW,,
1052,6.400000,4.500000,4.500000,-3.500000,1.020000,,Closed,6.400000,2.000000,1,1,69,WAT,HY,2619,2619-6,,
1052,6.800000,4.800000,4.800000,-3.700000,1.020000,,Closed,6.800000,2.000000,2,1,69,WAT,HY,2619,2619-5,,
1052,8.700000,6.100000,6.100000,-4.800000,1.020000,,Closed,8.700000,2.000000,3,1,69,WAT,HY,2619,2619-7,,
1052,19.000000,13.300000,13.300000,-10.500000,1.020000,,Closed,19.000000,4.000000,4,1,69,WAT,HY,2599,2599-1,,
1053,12.600000,8.800000,8.800000,-6.900000,1.020000,,Closed,12.600000,2.500000,1,1,69,WAT,HY,10196,10196-GEN1,,
1129,0.000000,0.000000,2.200000,-1.800000,1.020000,,Open,3.200000,0.100000,1,1,74,NG,IC,63236,63236-DG2,,
